Centre for Digital Media - CDM,1559
Centre for Water Research,1560
Centre national de la recherche scientifique - CNRS,1561
Centro Agronómico Tropical de Investigación y Enseñanza,2114
Centro Agropecuario Marengo,1104
Centro Atómico Bariloche - CNEA,1562
Centro Brasileiro De Pesquisas Físicas,90
Centro Colombo Americano,314
Centro de Alternativas al Desarrollo - CEALDES,1529
Centro de Edafología y Biología Aplicada del Segura - CSIC,1563
Centro de Electricidad Electrónica y Telecomunicaciones - CEET,920
"Centro de electricidad, electrónica y telecomunicaciones - SENA",2459
Centro de Estudios Históricos - CEH,1564
Centro de estudios para la Permacultura y un desarrollo alternativo - Proyecto Pachamama,902
Centro de Estudios para la Prevención de Desastres - CEPREVE,941
Centro De Idiomas Y Turismo De Cartagena,2026
Centro de Investigación Científica del Rio Magdalena,1199
Centro de Investigación Científica del Rio Magdalena - Crimag,1889
Centro de Investigación Cooperativa en Biomateriales - CIC biomaGUNE,1200
Centro de Investigación Corpogen,2019
Centro De Investigacion De Estudios Avanzados Del I.P.N.,24
Centro de Investigación de las Telecomunicaciones - CINTEL,2033
Centro de Investigación en Alimentación y Desarrollo A.C.,2115
Centro de Investigación en Ecosistemas y Cambio Global - C&B,1565
Centro de Investigación en Matemáticas - CIMAT,1806
Centro de Investigación en Materiales Avanzados - CIMAV,1579
Centro de Investigación y de Estudios Avanzados del Instituto Politécnico Nacional - CINVESTAV - IPN,2116
Centro de Investigación y Desarrollo de Tecnología Digital del Instituto Politecnico Nacional - CITEDI-IPN,1899
Centro de Investigación y Desarrollo Tecnológico de la Industria Electro Electrónica y TIC - CIDEI,2012
Centro de Investigación y Docencia Económicas - CIDE,2137
Centro de Investigaciones en Láseres y Aplicaciones - CEILAP,1566
"Centro de Investigaciones Energéticas, Medioambientales y Tecnológicas - CIEMAT",1567
Centro de Investigaciones para la Transformación - CENIT,1568
Centro de Tecnologias del Transporte SENA - CTT,788
Centro Don Bosco,2486
Centro Educativo El Castillo de San Mateo,1995
Centro Educativo Los Andes Almendros,2457
Centro Internacional de Agricultura Tropical - CIAT,1569
Centro Internacional de Física - CIF,466
Centro Metalmecánico SENA,787
Centro Nacional de Energías Renovables - CENER,1201
Centro Nacional de Producción Más Limpia - CNPML ,2056
Centro Oriental de Ecosistemas y Biodiversidad - BIOECO,2138
Centro Social Marie Poussepin,2456
Centros Comerciales Sudamericanos S.A. - Cencosud,464
Cerámica San Lorenzo Industrial de Colombia S.A.,467
Certiprof,14
Challenger S.A.S.,2085
Chalmers tekniska högskola,1928
Chalver Laboratorios S.A.,306
Chandigarh University,1202
Chaneme Comercial S.A.,470
Chiba University,1203
Chinese Academy of Sciences,2139
Chinese Academy of Social Sciences,2175
Christian Children's Fund,2140
CI Manetty LTDA.,1204
Cisco Systems,12
City College of the City University of New York - CCNY,472
Ciudad Sistema LTDA.,1530
CKI Automatizacion Industrial S.A.S.,1205
Clariant Colombia S.A.,473
"Cleva North America, Inc.",1713
Clínica Reina Sofia,1570
Clínica San Pedro Claver,897
Cobiscorp Colombia S.A.,474
Coca-Cola Midi,476
Codensa S.A. ESP.,477
Codigo Proyectos S.A.,1206
Cognizant Technology Solutions Corp,1571
Cointelco S.A.,478
Col Energy S.A.S / Col Agua,479
Colcerámica S.A.,481
Colegio Americano De Bogotá,15
Colegio Andrés Rosillo,1867
Colegio Bilingüe Espíritu Santo,912
Colegio Chuniza (IED),2430
COLEGIO CIUDAD BOLIVAR - ARGENTINA (IED),2428
Colegio Colombo Florida Bilingüe,1868
Colegio Cooperativo De Cogua,1864
Colegio De Estudios Superiores De Administracion -CESA,25
Colegio de Ingenieros Civiles del Azuay,1919
Colegio de la Presentación Sans Facon,2022
Colegio De La Presentación Zipaquirá,13
Colegio de México,2141
COLEGIO DEL DIVINO NIÑO,2435
Colegio Departamental la Esperanza,2492
COLEGIO EUGENIA RAVASCO,2434
Colegio Externado Nacional Camilo Torres - IED,38
Colegio Gimnasio Los Pirineos,1913
Colegio INEM - Luis López de Mesa,100
Colegio José Manuel Restrepo - IED,1917
Colegio Kapeirot,2461
COLEGIO LA FLORESTA SUR (IED),2432
Colegio La Presentación,18
Colegio Liceo del Rosario,2006
Colegio Liceo Pedagógico,898
Colegio Los Ángeles del Norte,1912
COLEGIO LUIS VARGAS TEJADA (IED),2433
Colegio Mixto 20 De Julio de Cartagena,1870
Colegio Morisco I.E.D,1856
Colegio Nueva York,2021
COLEGIO RUFINO JOSE CUERVO (IED),2436
Colegio Saludcoop Sur I.E.D,905
Colegio San Juan del Camino,1865
Colegio San Luis de La Policia,1920
Colegio Técnico República de Guatemala,2454
Colinagro S.A.,482
College of William and Mary in Virginia - W&M,1572
Colombia Kimberly Colpapel S.A.,483
Colombia Móvil S.A. ESP. - TIGO,484
Colombia Telecomunicaciones S.A. ESP.,485
COLOMBIANA DE INGENIERIA Y SUMINISTROS LTDA.,2320
Colorado School of Mines,1573
Colorado State University - CSU,1574
Colpatria,434
Colse Ltda.,486
Colsein Ldta.,487
Colsubsidio,488
Colvista S.A.S.,489
ComCentric Network Designs - CCND,462
Comercial De Riegos LTDA.,1207
Comestibles Ricos S.A.,1208
Comet Zona Franca Ltda.,490
Comisión Económica para América Latina y el Caribe - CEPAL,2142
Comisión Interministerial de Ciencia y Tecnología - CICYT,1575
Comision Nacional De Energia,30
Comision Nacional De Grados Cientificos,32
Comisión Regional de Ciencia y Tecnología para la Costa Atlántica,2143
Commonwealth Scientific and Industrial Research Organisation,1940
Compañía Colombiana Automotriz - CCA,491
Compañia Comercial e Industrial La Sabana Avesco S.A.,1846
Compañía de Profesionales de Bolsa S.A.,1209
Compañía General de Aceros S.A.,492
Compañía Iberoamericana de Plásticos S.A. - IBERPLAST,493
Compañía Industrial de Automatización Ltda - CIA MSI,494
Compañia MIP Engenharia S.A.,496
Compañía Transportadora de Valores Prosegur de Colombia S.A.,1210
Compass Group Services Colombia S.A.,497
Complasesa S.A.S.,1211
Compufácil S.A.S.,498
Computadores para Educar,762
Computec S.A.S.,499
Comware,298
Conalmarmoles SAS,2017
Concejo de Bogotá,2426
Concesionaria Vial de los Andes S.A.S – Coviandes,519
Concordia University,1005
Concrete Innovations,500
Concretos Y Maderas S.A.S.,1212
Confipetrol S.A.S.,1213
Congelagro S.A.,501
Congreso de la Republica de Colombia - Senado de la Republica,2403
Congreso Nacional De Física,20
Connecta 26,1083
Consejo Colombiano de Eficiencia Energética - CCEE,1214
Consejo Colombiano de Seguridad,1576
Consejo de Empresas Americanas - CEA,1215
"Consejo Facultad De Ingeniería Universidad Nacional De Colombia, Sede Bogotá.",17
Consejo Nacional de Ciencia y Tecnología - CONACYT,2059
Consejo Profesional de Ingeniería Química - CPIQ,502
Consejo Profesional de Ingeniería Química de Colombia,3
Consejo Superior de Investigaciones Científicas - CSIC ,2060
Consejo Superior de Investigaciones Científicas - CSIC,47
Conselho Nacional de Desenvolvimento Cientifíco e Tecnológico - CNPq,52
Consorcio para la Prosperidad - CONPROS,1216
Consorcio Proyeccion Vial Puerto Salgar,1217
Consorcio Ruta 40,1822
Consorzio Nazionale della Cooperazione Sociale Gino Mattarelli - CGM,2144
Constructora Conconcreto S.A.,504
Construelectricos Jose H S.A.S.,1218
Consulado De Colombia En Madrid,46
ConsulObras ltda.,505
Consultata S.A.S.,1219
Consultores Estructurales Asociados S.A.S - CEA,506
Consultores Unidos S.A.,1220
Consultoría Colombiana S.A.,503
Consultoria Tecnologia Informatica CTI LTDA.,1221
Consultoría y Construcciones Civiles Ltda.,507
Contact Center Américas,508
Contactamos Servicios Ltda,299
Contelac LTDA.,1222
Contraloría de Bogotá ,2051
Contraloría Departamental del Amazonas,2145
Contraloría General de la República,2146
Control y Telemética S.A.S.,509
Convenio Sigueme,965
Coonfie,2498
COOPEN Network,2147
Cooperativa de Lácteos de Antioquia - Colanta,480
COOPERATIVA DE PROFESORES DE LA UNIVERSIDAD NACIONAL - COOPROFESORESUN.,2321
Coordenação De Aperfeiçoamento De Pessoal De Nível Superior - Capes,45
Copenhagen Business School - CBS - Handelshøjskolen,1577
Coquecol S.A.,510
Cornell University,316
Corona S.A.,511
Corporación Andina de Fomento - CAF,513
Corporación Autónoma Regional de las Cuencas de los Ríos Negro y Nare - Cornare,2148
Corporación Autónoma Regional de los Valles del Sinú y del San Jorge - CVS,1890
Corporación Calidad,514
CORPORACION COLOMBIANA DE INVESTIGACION AGROPECUARIA - AGROSAVIA,2462
Corporación Colombiana de Investigación Agropecuaria - Corpoica,512
Corporación de Acero - Corpacero S.A.,837
Corporación de Ciencia y Tecnología para el Desarrollo de la Industria Naval Marítima y Fluvial - Cotecmar,518
Corporación de Educación del Norte del Tolima - Coreducación,1850
Corporación de Educación Tecnológica Colsubsidio CET,1998
Corporación de Fomento de la Producción,2496
Corporación Educativa American School,1994
Corporación Educativa Internacional de la Ciencia - CEDEC,2429
CORPORACION GEOAMBIENTAL TERRAE,2322
Corporación Industrial Minuto de Dios,516
Corporacion Instituto Superior De Educación Social - ISES,2453
Corporación Instituto Tecnológico de la Seguridad - INTESEG,121
Corporación para la Energía y el Medio Ambiente - Corpoema,515
Corporacion Patalogia Veterinaria - CORPAVET,1223
Corporación Politécnico de la Costa Atlántica,134
Corporación Social De Cundinamarca,44
Corporación social y educativa Humanismo Siglo XXI - Corpohumanismo,1848
Corporación Tecnológica de Bolívar,138
Corporación Tecnológica Industrial Colombiana - TEINCO,911
Corporación Unificada Nacional de Educación Superior - CUN,118
Corporación Universitaria Autónoma de Nariño,74
Corporación Universitaria Autónoma del Cauca,75
Corporación Universitaria de Asturias,2439
Corporación Universitaria de Ciencia y Desarrollo,135
Corporación Universitaria de Ciencias Aplicadas y Ambientales - UDCA,136
Corporación Universitaria de Colombia Ideas,109
Corporación Universitaria de Ibagué,104
Corporación Universitaria de la Costa - CUC,119
Corporación Universitaria del Huila - CORHUILA,113
Corporación Universitaria del Meta,114
Corporación Universitaria Iberoamericana,1862
Corporación Universitaria Minuto de Dios,8
Corporación Universitaria Rafael Nuñez,116
Corporación Universitaria Regional Del Caribe - IAFIC,921
Corporación Universitaria Remington,120
Corporación Universitaria Unitec,117
Corporación Univesitaria Republicana,137
Corriente Alterna Ltda,517
"Coursera, Inc.",1915
Coventry University,188
COYDISAS S.A.S.,1224
CPL Aromas Colombia LTDA,2087
Cristalería Peldar S.A.,520
Croda International plc,521
CRODA SUCURSAL COLOMBIA,2323
Cubasolar,1578
Cultivos Rancho Alegre S.A.S.,1531
Cumbrera S.A.S.,1225
Cummins de los Andes S.A,2069
cursosycapacitaciones.co,2431
Cusezar S.A.,522
Cvm Global Trading LTDA.,1226
Cymetria Group,2452
Cyquim de Colombia S.A.,523
Cyu Instrumentacion LTDA.,1227
Czech Technical University in Prague - CTU,2061
Da Vinci Technology Services S.A.S,1827
Dag Ingeniería S.A.S.,1228
Danmarks Tekniske Universitet - DTU,1796
Dayclean S.A.,524
DC Teknicalderas Ltda.,832
Deejay Academy,42
Defta Group,1084
Deidre Erlinda Galvis Rojas,1229
Delta LIGHT NV,1580
Departamento Administrativo de Presidencia de la República - DAPRE,2149
Departamento Administrativo Nacional de Estadística - DANE,1844
Departamento de Ciência e Tecnologia Aeroespacial - DCTA,1581
Departamento Nacional de Planeación - DNP,526
Derco S.A.S.,527
"Detección, Empaque y Procesos S.A.S. - DEMPRO",1230
Detergentes LTDA.,1231
Deutscher Akademischer Austauschdienst German Academic Exchange Service - DAAD,43
Deutsches Zentrum für Luft- und Raumfahrt,300
DIACO S.A.,2324
Diagnóstico Eléctrico Mantenimiento y Obras - DEMO Ingeniería,525
Diameco S.A.S.,1232
Diana Corporación S.A.S,2412
DICOL LTDA,2093
DICORE SANTAMARIA S.A.S.,2325
DICTUC S.A.,1154
Dielcom S.A.S.,529
Digecon 3D S.A.S,530
Dimetal Ltda.,531
DINISSAN S.A.,1820
Diproyectos S.A.S.,1233
Dirección Antinarcóticos de la Policía Nacional,532
Dirección de impuestos y aduanas nacionales,2031
Dirección de Impuestos y Aduanas Nacionales - DIAN,2094
DIRECCION GENERAL MARITICA - DIMAR  ,2326
Dirección General Marítima - DIMAR,2150
Dirección Nacional de Escuelas de la Policía Nacional,139
Dirección Nacional de Innovación Académica - Unal,918
Dirección Nacional de Tecnologías de la Información y las Comunicaciones - DNTIC,2050
Dirige S.A.S. ,1234
Disan Colombia S.A.,1235
Diseños Virtuales de Ingeniería S.A.S - DVI,534
Diseños y Construcciones Especializadas en Ingeniería S.A.S. - DICEIN S.A.S.,1236
DISMET S.A.S.,535
DISTASA S.A. E.S.P.,536
Distribuidora Hino de Colombia S.A.S.,621
Distribuidora Nissan S.A.,537
DISTRIPAQ S.A.S.,2327
Diversey Colombia Ltda.,538
dokuritsu gyōseihōjin kokusai kyōryoku kikō,960
DOS  G  S.A.S.,2328
Dow Agrosciences de Colombia S.A.,539
Dow Química de Colombia S.A,2043
Duke University,190
Easy Card S.A.S.,1237
Easy Cleaning,541
"Easy Solutions, Inc",542
Eaton Industries (France) S.A.S.,1829
Eccosis Plus S.A.S.,1238
École centrale de Lyon,1582
École centrale de Nantes,1799
École centrale des arts et manufactures - ECP,191
École d'ingénieurs de Purpan,1243
Ecole de Biologie Industrielle - EBI,2080
École de Technologie Supérieure - ETS,1240
École des Hautes Études en Sciences Sociales - EHESS,2151
École des mines d'Alès,1241
École des mines de Douai - École nationale supérieure des mines de Douai - ENSMD,1242
Ecole d’ingénieur Denis Diderot - EIDD,1239
"École européenne de chimie, polymères et matériaux de Strasbourg - ECPM",1727
"École internationale du papier, de la communication imprimée et des biomatériaux - Grenoble INP-Pagora",955
École Nationale d'Architecture de Nantes - ENSA Nantes,2152
École nationale d'ingénieurs - ENI,1245
École nationale d'ingénieurs de Metz - ÉNIM,967
Ecole nationale d'ingénieurs de Saint-Etienne - ENISE,2153
École nationale d'ingénieurs du Val de Loire - ENIVL,947
École nationale de la statistique et de l'administration économique - ENSAE ParisTech,1244
École nationale des ponts et chaussées - École des Ponts ParisTech,953
École nationale des travaux publics de l'État,1800
Ecole Nationale d’Ingénieurs de Brest - ENIB,320
École Nationale d’Ingénieurs de Saint‑Etienne - ENISE,329
École nationale d’ingénieurs de Tarbes - ENIT,942
École nationale supérieure d'agronomie et des industries alimentaires - ENSAIA,951
Ecole Nationale Supérieure d'Architecture de Paris La Villette - ENSAPLV,2154
École nationale supérieure d'architecture Paris-Malaquais,2127
École Nationale Supérieure d'Arts et Métiers - ENSAM,322
École nationale supérieure d'électricité et de mécanique - ENSEM,948
"École Nationale Supérieure d'Électronique, d'Électrotechnique, d'Informatique, d'Hydraulique, et des Télécommunications - ENSEEIHT",958
École nationale supérieure d'hydraulique et de mécanique de Grenoble - ENSHMG,954
École nationale supérieure d'informatique et de mathématiques appliquées de Grenoble - ENSIMAG,952
École nationale supérieure d'informatique pour l'industrie et l'entreprise - ENSIIE,1252
École Nationale Supérieure d'Ingénieurs de Poitiers - ENSIP,326
École nationale supérieure de chimie de Paris - Chimie ParisTech,932
École nationale supérieure de génie industriel - ENSGI,946
École nationale supérieure de géologie - ENSG,943
École nationale supérieure de l'aéronautique et de l'espace,2388
École Nationale Supérieure de l'Électronique et de ses Applications - ENSEA,321
"École nationale supérieure de l’énergie, l’eau et l’environnement - Ense3",956
"École Nationale Supérieure de Physique, Électronique, Matériaux - Phelma",327
École Nationale Supérieure de Techniques Avancées - ENSTA ParisTech,543
École nationale supérieure des arts décoratifs - EnsAD,2129
École Nationale Supérieure des Industries Chimiques - ENSIC,323
École nationale supérieure des ingénieurs en arts chimiques et technologiques - ENSIACET ,1728
École nationale supérieure des mines d'Albi-Carmaux - Mines Albi-Carmaux,1246
Ecole Nationale Supérieure des Mines d'Alès - École des Mines d'Alès - EMA,1247
École nationale supérieure des mines d'Alès - EMA,1729
École nationale supérieure des mines de Douai,1248
École nationale supérieure des mines de Nancy - Mines Nancy,318
École nationale supérieure des mines de Nantes - Mines Nantes,319
École nationale supérieure des mines de Paris - MINES ParisTech,930
École nationale supérieure des mines de Saint-Étienne - Mines Saint-Étienne - Saint-Étienne School of Mines,1249
École nationale supérieure des sciences appliquées et de technologie de Lannion - ENSSAT - Université de Rennes-I,1250
École nationale supérieure des télécommunications de Bretagne - ENST Bretagne - Telecom Bretagne,1251
École Nationale Supérieure en Génie des Systèmes et de L'innovation - ENSGSI,317
École nationale supérieure en systèmes avancés et réseaux -Grenoble INP - Esisar,957
École nationale supérieure Mines-Télécom Atlantique Bretagne Pays de la Loire,1730
École normale supérieure de Lyon,2155
École polytechnique de l'université de Tours,1253
École polytechnique de Montréal,969
École Polytechnique Fédérale de Lausanne - EPFL,192
École Polytechnique Universitaire de Montpellier,369
École pour l'informatique et les nouvelles technologies - EPITECH,2159
École supérieure d'agriculture d'Angers - L'ESA,1731
Ecole Supérieure d'Art Avignon,2156
Ecole Supérieure d'Ingénieur-es en Technologies Innovantes - ESITech,1733
École supérieure d'ingénieurs de Rennes - ESIR - Université de Rennes-I,1254
École Supérieure de Chimie Physique Électronique de Lyon - CPE Lyon,1931
École supérieure de physique et de chimie industrielles de la ville de Paris - ESPCI Paris,1732
Ecologic SAS,2034
Ecomaco S.A.S.,1255
Ecopetrol S.A.,544
Ed. Züblin AG,324
EDF C.N.P.E - Centre Nucléaire de Production d'Electricité,1837
Editora Netwip Internacional S.A.,1873
Eduardoño S.A.,545
Educación Interamericana Técnica - FIT,2451
Educational Testing Service - ETS,331
Edusoluciones S.A.S.,1256
Efeyce Integrales S.A.,546
Eforcers S.A.,1257
EGESTEC S.A.S.,1258
EHU - Ingeniería de proyectos S.A.S,2098
Eidgenössische Technische Hochschule Zürich,193
Eiffage,325
Eince LTDA.,1532
Ejercito Nacional de Colombia - EJC,877
EKIP de Colombia S.A.S.,547
El Colegio de San Luis,2157
El Instituto Tecnológico y de Estudios Superiores de Monterrey,59
El Palmar Del Llano S.A.,732
Électricité de France,1834
Electro Optical System GmbH - EOS,548
Electronica Guinard S.A.S.,1259
Elektriska Svetsnings-Aktiebolaget - ESAB,553
Embajada de la República de Corea en la República de Colombia,1583
Embajada de la Republica Islamica de Iran,2158
Emerson Electric de Colombia Ltda,549
Emgesa S.A.,550
Empresa Aerea de Servicios y Facilitacion Logistica Integral S.A.,1260
Empresa Colombiana de Llantas - ICOLLANTAS,551
"Empresa de Acueducto, Alcantarillado y Aseo de Bogotá - EAAB-ESP",301
Empresa de Energía del Pacífico S.A. - EPSA,1584
